"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2024","EQ","28.40","28.47","23.51","237.30","23.72","23.59","23.89","278.00","23.51","2,30,075","54,97,016.64","2,911"
"01-Feb-2024","EQ","238.56","238.91","235.16","238.00","238.91","237.30","236.71","278.00","197.00","18,665","44,18,175.36","420"
"31-Jan-2024","EQ","240.15","240.15","233.77","235.44","238.20","238.00","236.98","278.00","197.00","3,783","8,96,504.47","169"
"30-Jan-2024","EQ","243.70","243.70","234.28","235.25","235.82","235.44","234.96","278.00","197.00","7,204","16,92,650.61","170"
"29-Jan-2024","EQ","243.70","243.70","233.35","234.21","237.07","235.25","234.93","278.00","197.00","14,808","34,78,841.03","928"
"25-Jan-2024","EQ","237.66","237.66","230.00","232.99","234.00","234.21","231.42","278.00","197.00","4,817","11,14,740.19","213"
"24-Jan-2024","EQ","233.00","235.20","230.50","233.55","234.65","232.99","232.77","278.00","197.00","11,552","26,88,947.96","396"
"23-Jan-2024","EQ","240.89","240.89","233.05","238.90","233.50","233.55","234.80","278.00","197.00","12,851","30,17,453.04","332"
"20-Jan-2024","EQ","237.34","239.87","236.88","236.26","239.87","238.90","237.58","278.00","197.00","11,471","27,25,273.33","177"
"19-Jan-2024","EQ","239.00","240.26","235.64","237.26","237.80","236.26","236.56","278.00","197.00","88,245","2,08,75,059.80","484"
"18-Jan-2024","EQ","240.53","240.53","236.23","240.54","238.42","237.26","237.48","278.00","197.00","16,643","39,52,456.38","442"
"17-Jan-2024","EQ","244.39","245.44","239.60","250.46","240.50","240.54","241.01","278.00","197.00","2,72,720","6,57,28,325.72","579"
"16-Jan-2024","EQ","255.07","257.50","249.35","252.60","250.50","250.46","250.74","278.00","197.00","4,247","10,64,883.10","69"
"15-Jan-2024","EQ","249.79","278.00","248.45","248.44","249.05","252.60","250.68","278.00","197.00","3,804","9,53,596.41","70"
"12-Jan-2024","EQ","247.72","249.11","247.50","247.72","247.50","248.44","248.60","257.21","197.00","1,657","4,11,929.07","43"
"11-Jan-2024","EQ","246.98","247.86","246.73","246.70","247.72","247.72","247.68","257.21","197.00","4,429","10,96,981.36","19"
"10-Jan-2024","EQ","245.45","246.74","244.31","245.67","246.66","246.70","246.01","257.21","197.00","593","1,45,881.56","45"
"09-Jan-2024","EQ","247.99","248.99","245.02","247.14","245.89","245.67","246.19","257.21","197.00","1,469","3,61,646.55","60"
"08-Jan-2024","EQ","249.01","249.97","246.01","249.56","249.00","247.14","247.82","257.21","197.00","2,567","6,36,146.48","134"
"05-Jan-2024","EQ","255.48","255.48","247.66","250.39","249.09","249.56","248.98","257.21","197.00","17,326","43,13,746.69","974"
"04-Jan-2024","EQ","248.72","250.57","248.72","247.40","250.49","250.39","249.45","257.21","197.00","500","1,24,723.22","24"
"03-Jan-2024","EQ","246.82","248.25","246.50","248.49","246.75","247.40","247.30","257.21","197.00","2,115","5,23,043.53","86"
"02-Jan-2024","EQ","250.30","250.73","247.76","250.90","249.00","248.49","248.40","257.21","197.00","5,188","12,88,676.83","187"
"01-Jan-2024","EQ","250.02","251.56","249.30","250.17","249.55","250.90","250.60","257.21","197.00","7,333","18,37,682.11","97"
"29-Dec-2023","EQ","250.77","255.69","248.68","251.00","250.01","250.17","249.43","257.21","197.00","40,370","1,00,69,410.14","950"
"28-Dec-2023","EQ","250.60","251.50","250.25","249.61","251.00","251.00","250.82","257.21","197.00","1,890","4,74,059.18","44"
"27-Dec-2023","EQ","247.63","250.36","247.62","247.61","249.60","249.61","248.82","257.21","197.00","3,260","8,11,154.23","58"
"26-Dec-2023","EQ","251.25","251.25","246.60","247.52","247.95","247.61","247.34","257.21","197.00","2,181","5,39,455.71","61"
"22-Dec-2023","EQ","250.50","250.50","246.01","250.42","248.50","247.52","248.06","257.21","197.00","2,480","6,15,186.45","77"
"21-Dec-2023","EQ","245.70","252.58","243.99","245.62","252.58","250.42","246.39","257.21","197.00","4,107","10,11,921.55","77"
"20-Dec-2023","EQ","250.93","250.93","243.03","248.42","243.03","245.62","246.93","257.21","197.00","8,827","21,79,678.29","93"
"19-Dec-2023","EQ","249.80","249.80","245.80","249.71","245.80","248.42","248.77","257.21","197.00","16,199","40,29,877.84","156"
"18-Dec-2023","EQ","249.80","249.80","249.09","250.03","249.69","249.71","249.14","257.21","197.00","10,059","25,06,109.01","37"
"15-Dec-2023","EQ","248.91","250.70","248.85","248.54","249.11","250.03","249.74","257.21","197.00","1,618","4,04,084.50","27"
"14-Dec-2023","EQ","252.65","252.65","248.12","245.00","248.32","248.54","248.93","257.21","197.00","15,772","39,26,046.94","1,291"
"13-Dec-2023","EQ","244.55","245.79","244.55","244.55","245.00","245.00","245.06","257.21","197.00","382","93,611.06","15"
"12-Dec-2023","EQ","247.52","247.57","244.55","245.77","244.55","244.55","245.53","257.21","197.00","15,361","37,71,621.49","32"
"11-Dec-2023","EQ","257.21","257.21","245.61","246.12","245.61","245.77","248.01","257.21","197.00","3,48,434","8,64,14,908.67","76"
"08-Dec-2023","EQ","245.01","246.49","245.00","244.10","245.00","246.12","245.51","246.50","197.00","2,624","6,44,216.02","38"
