"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2024","EQ","99.00","99.00","96.11","96.11","99.00","98.34","98.21","99.00","55.53","12,03,186","11,81,63,460.61","7,354"
"01-Feb-2024","EQ","98.75","98.75","95.36","95.89","96.20","96.11","95.97","98.75","55.53","9,78,174","9,38,79,026.23","5,372"
"31-Jan-2024","EQ","97.50","97.50","94.86","95.72","96.00","95.89","95.49","98.50","55.53","9,83,121","9,38,75,034.46","4,771"
"30-Jan-2024","EQ","98.50","98.50","95.56","96.51","95.90","95.72","96.59","98.50","55.53","11,04,758","10,67,12,919.91","5,465"
"29-Jan-2024","EQ","91.30","96.69","91.30","94.14","96.50","96.51","95.91","96.69","55.53","8,68,996","8,33,41,215.15","6,413"
"25-Jan-2024","EQ","94.50","94.50","93.34","93.76","94.25","94.14","93.89","96.25","55.53","11,06,916","10,39,32,898.79","4,801"
"24-Jan-2024","EQ","94.00","94.00","90.91","91.81","93.72","93.76","93.22","96.25","55.53","14,46,508","13,48,36,934.50","4,103"
"23-Jan-2024","EQ","95.50","96.25","91.55","94.76","92.15","91.81","93.91","96.25","55.53","19,98,306","18,76,53,423.60","9,291"
"20-Jan-2024","EQ","93.50","95.47","93.50","94.32","94.72","94.76","95.03","95.47","55.53","5,77,404","5,48,68,148.41","3,908"
"19-Jan-2024","EQ","94.00","94.45","92.00","92.54","94.38","94.32","94.07","94.80","55.53","11,88,085","11,17,60,181.04","3,926"
"18-Jan-2024","EQ","92.85","93.28","90.46","92.87","93.00","92.54","92.30","94.80","55.53","13,82,162","12,75,79,468.46","4,865"
"17-Jan-2024","EQ","94.80","94.80","92.43","93.84","93.50","92.87","93.27","94.80","55.53","9,99,857","9,32,61,089.94","5,952"
"16-Jan-2024","EQ","93.75","94.10","92.91","93.49","93.88","93.84","93.72","94.50","55.53","8,03,526","7,53,06,474.49","4,798"
