"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2024","EQ","645.20","668.70","645.10","645.26","658.00","659.07","664.36","668.70","350.00","98,899","6,57,04,807.98","1,072"
"01-Feb-2024","EQ","624.30","648.00","621.10","624.29","646.49","645.26","639.97","648.00","350.00","2,93,314","18,77,12,752.23","1,585"
"31-Jan-2024","EQ","632.05","632.05","605.70","613.65","621.60","624.29","618.08","632.05","350.00","35,682","2,20,54,243.98","801"
"30-Jan-2024","EQ","605.01","616.89","601.00","603.89","614.00","613.65","612.75","616.89","350.00","38,116","2,33,55,722.14","594"
"29-Jan-2024","EQ","600.80","607.75","590.00","588.99","602.60","603.89","601.46","609.63","350.00","18,416","1,10,76,503.82","627"
"25-Jan-2024","EQ","595.98","601.65","581.01","589.85","587.00","588.99","591.07","609.63","350.00","7,372","43,57,384.02","320"
"24-Jan-2024","EQ","589.89","591.00","570.97","585.17","589.99","589.85","582.70","609.63","350.00","32,368","1,88,60,913.90","882"
"23-Jan-2024","EQ","595.61","609.63","576.05","600.79","600.00","585.17","591.13","609.63","350.00","24,199","1,43,04,751.82","877"
"20-Jan-2024","EQ","598.99","602.99","590.11","591.81","601.80","600.79","599.38","602.99","350.00","14,211","85,17,754.81","390"
"19-Jan-2024","EQ","594.89","594.90","586.17","586.17","592.00","591.81","589.92","596.59","350.00","13,681","80,70,702.02","398"
"18-Jan-2024","EQ","577.30","587.60","568.57","581.08","587.20","586.17","577.40","596.59","350.00","46,161","2,66,53,243.44","591"
"17-Jan-2024","EQ","582.93","589.44","577.29","589.87","581.90","581.08","583.98","596.59","350.00","19,454","1,13,60,766.83","764"
"16-Jan-2024","EQ","594.00","596.59","584.06","589.37","590.80","589.87","594.19","596.59","350.00","1,13,251","6,72,92,264.07","864"
"15-Jan-2024","EQ","587.00","592.00","584.11","583.04","588.00","589.37","588.67","592.00","350.00","14,040","82,64,910.20","649"
"12-Jan-2024","EQ","567.95","585.73","567.75","567.73","581.00","583.04","580.52","588.00","350.00","18,035","1,04,69,617.36","727"
"11-Jan-2024","EQ","565.01","569.98","564.99","563.32","568.82","567.73","566.00","588.00","350.00","3,08,350","17,45,26,965.90","437"
"10-Jan-2024","EQ","565.08","566.30","559.79","566.81","564.24","563.32","562.30","588.00","350.00","38,799","2,18,16,749.83","745"
"09-Jan-2024","EQ","574.14","574.34","565.15","567.35","567.00","566.81","568.08","588.00","350.00","3,90,748","22,19,77,066.17","578"
"08-Jan-2024","EQ","585.97","585.97","566.00","581.29","574.45","567.35","574.94","588.00","350.00","3,94,718","22,69,37,803.09","1,276"
"05-Jan-2024","EQ","585.65","588.00","577.03","584.14","581.48","581.29","581.84","588.00","350.00","23,020","1,33,93,862.15","562"
"04-Jan-2024","EQ","584.99","584.99","577.01","580.20","584.90","584.14","582.70","584.99","350.00","60,600","3,53,11,585.21","492"
"03-Jan-2024","EQ","569.55","582.00","554.05","573.00","582.00","580.20","577.13","582.00","350.00","94,393","5,44,76,848.95","1,436"
"02-Jan-2024","EQ","572.85","579.41","564.05","572.86","572.00","573.00","573.44","580.25","350.00","72,468","4,15,56,132.51","1,063"
"01-Jan-2024","EQ","580.25","580.25","564.05","568.84","569.00","572.86","570.77","580.25","350.00","9,176","52,37,400.07","347"
"29-Dec-2023","EQ","570.01","571.89","565.05","570.74","569.50","568.84","567.67","578.89","350.00","5,925","33,63,446.80","340"
"28-Dec-2023","EQ","574.10","575.55","568.44","565.88","572.63","570.74","572.13","578.89","350.00","19,494","1,11,53,123.58","518"
"27-Dec-2023","EQ","557.59","566.97","557.59","556.41","566.00","565.88","563.04","578.89","350.00","13,666","76,94,549.16","398"
"26-Dec-2023","EQ","567.30","567.30","550.02","557.31","557.00","556.41","557.11","578.89","350.00","14,051","78,27,896.31","412"
"22-Dec-2023","EQ","562.02","563.25","552.57","558.00","562.00","557.31","558.91","578.89","350.00","9,130","51,02,846.31","410"
"21-Dec-2023","EQ","540.61","561.19","539.32","551.64","558.01","558.00","550.14","578.89","350.00","28,598","1,57,32,977.61","520"
"20-Dec-2023","EQ","575.91","577.50","548.00","573.77","555.00","551.64","560.53","578.89","350.00","46,844","2,62,57,550.07","855"
"19-Dec-2023","EQ","570.72","578.89","564.25","570.72","575.62","573.77","573.37","578.89","350.00","8,352","47,88,786.91","535"
"18-Dec-2023","EQ","575.74","575.99","567.00","575.74","574.99","570.72","571.49","576.00","350.00","22,624","1,29,29,363.89","605"
"15-Dec-2023","EQ","566.09","576.00","555.91","559.00","572.95","575.74","566.50","576.00","350.00","24,518","1,38,89,477.00","497"
"14-Dec-2023","EQ","558.11","564.98","555.80","556.80","560.00","559.00","560.87","564.98","350.00","6,127","34,36,436.31","332"
"13-Dec-2023","EQ","552.00","558.14","549.59","552.69","555.50","556.80","553.54","559.86","350.00","25,684","1,42,17,010.15","526"
"12-Dec-2023","EQ","559.86","559.86","549.44","553.64","553.60","552.69","553.64","559.86","350.00","7,962","44,08,067.07","456"
"11-Dec-2023","EQ","549.54","555.69","546.73","546.70","552.00","553.64","552.25","555.69","350.00","10,290","56,82,611.26","537"
"08-Dec-2023","EQ","546.72","549.00","537.00","543.77","545.00","546.70","542.04","549.00","350.00","19,541","1,05,91,989.69","485"
"07-Dec-2023","EQ","538.26","544.99","535.30","540.76","543.00","543.77","541.91","544.99","350.00","14,608","79,16,151.76","493"
"06-Dec-2023","EQ","536.60","544.99","534.54","539.06","540.00","540.76","538.27","544.99","350.00","16,400","88,27,703.25","679"
"05-Dec-2023","EQ","531.04","542.76","529.30","529.14","537.05","539.06","537.97","542.76","350.00","60,414","3,25,00,727.25","1,007"
"04-Dec-2023","EQ","512.79","529.90","512.79","511.35","529.20","529.14","526.03","541.00","350.00","48,969","2,57,59,248.79","1,519"
"01-Dec-2023","EQ","507.62","514.60","503.70","503.37","511.20","511.35","510.59","541.00","350.00","29,462","1,50,43,039.03","866"
"30-Nov-2023","EQ","507.00","509.69","502.00","507.11","506.95","503.37","504.61","541.00","350.00","25,759","1,29,98,165.60","648"
"29-Nov-2023","EQ","504.40","509.00","503.39","504.40","507.00","507.11","506.11","541.00","350.00","8,401","42,51,808.94","356"
"28-Nov-2023","EQ","513.50","513.50","495.00","496.96","504.00","504.40","501.34","541.00","350.00","19,664","98,58,389.33","847"
"24-Nov-2023","EQ","499.59","500.95","496.00","498.43","497.00","496.96","497.32","541.00","350.00","17,113","85,10,617.33","804"
"23-Nov-2023","EQ","499.91","501.00","496.70","498.66","498.85","498.43","498.57","541.00","350.00","10,366","51,68,133.57","513"
"22-Nov-2023","EQ","503.34","505.08","495.51","503.02","499.90","498.66","499.07","541.00","350.00","18,101","90,33,632.03","522"
"21-Nov-2023","EQ","506.50","506.60","502.07","504.01","504.01","503.02","503.28","541.00","350.00","17,967","90,42,466.78","302"
"20-Nov-2023","EQ","501.18","508.95","501.18","504.09","503.10","504.01","505.49","541.00","350.00","8,582","43,38,140.62","329"
"17-Nov-2023","EQ","514.95","514.95","502.05","516.56","504.99","504.09","505.04","541.00","350.00","29,892","1,50,96,642.60","669"
"16-Nov-2023","EQ","518.40","518.40","514.48","516.12","516.01","516.56","516.56","541.00","350.00","4,535","23,42,617.35","290"
"15-Nov-2023","EQ","515.59","522.99","514.05","514.38","514.05","516.12","518.71","541.00","350.00","19,330","1,00,26,659.34","622"
"13-Nov-2023","EQ","501.35","515.00","498.74","503.43","514.50","514.38","509.90","541.00","350.00","30,613","1,56,09,554.54","801"
"12-Nov-2023","EQ","501.00","508.48","500.65","499.63","505.26","503.43","503.76","541.00","350.00","6,505","32,76,945.21","289"
"10-Nov-2023","EQ","499.93","500.66","496.17","499.92","500.00","499.63","498.96","541.00","350.00","2,046","10,20,865.62","185"
"09-Nov-2023","EQ","500.29","502.65","499.31","500.28","500.00","499.92","500.48","541.00","350.00","19,256","96,37,214.91","203"
"08-Nov-2023","EQ","501.80","503.01","498.61","500.36","500.83","500.28","501.29","541.00","350.00","21,018","1,05,36,072.90","281"
"07-Nov-2023","EQ","496.22","501.69","495.10","496.55","500.70","500.36","499.40","541.00","350.00","40,290","2,01,20,636.56","514"
"06-Nov-2023","EQ","500.99","509.00","494.43","502.30","499.00","496.55","497.07","541.00","350.00","1,97,592","9,82,17,059.00","1,097"
