"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2024","EQ","34.02","34.63","33.94","34.02","34.63","34.31","34.20","34.85","21.11","28,329","9,68,954.43","250"
"01-Feb-2024","EQ","34.65","34.65","33.66","34.14","34.49","34.02","34.12","34.85","21.11","26,295","8,97,173.19","328"
"31-Jan-2024","EQ","33.87","34.68","33.06","33.32","33.95","34.14","33.85","34.85","21.11","39,652","13,42,114.04","282"
"30-Jan-2024","EQ","33.94","33.94","33.00","33.39","33.67","33.32","33.30","34.85","21.11","29,132","9,70,190.69","253"
"29-Jan-2024","EQ","34.38","34.38","33.14","33.55","33.46","33.39","33.41","34.85","21.11","27,653","9,23,818.32","437"
"25-Jan-2024","EQ","33.62","34.20","32.87","33.62","33.97","33.55","33.12","34.85","21.11","65,367","21,64,777.67","586"
"24-Jan-2024","EQ","33.34","34.85","33.02","33.34","33.27","33.62","33.54","34.85","21.11","19,743","6,62,125.39","234"
"23-Jan-2024","EQ","32.96","34.10","32.96","32.95","33.44","33.34","33.48","34.10","21.11","29,987","10,04,027.41","349"
"20-Jan-2024","EQ","33.30","33.38","32.75","32.84","33.10","32.95","33.06","33.68","21.11","14,138","4,67,438.55","152"
"19-Jan-2024","EQ","32.31","33.15","32.31","32.79","32.82","32.84","32.90","33.68","21.11","7,587","2,49,608.11","179"
"18-Jan-2024","EQ","32.97","33.09","32.15","32.62","33.09","32.79","32.65","33.68","21.11","16,775","5,47,653.97","240"
"17-Jan-2024","EQ","32.70","33.50","32.50","32.83","32.52","32.62","32.80","33.68","21.11","15,593","5,11,497.51","295"
"16-Jan-2024","EQ","33.44","33.68","32.63","33.12","33.44","32.83","32.93","33.68","21.11","23,257","7,65,897.21","359"
"15-Jan-2024","EQ","33.48","33.48","32.60","32.92","33.24","33.12","33.12","33.49","21.11","19,267","6,38,117.24","288"
"12-Jan-2024","EQ","33.29","33.39","32.42","32.97","33.02","32.92","32.83","33.49","21.11","11,200","3,67,726.48","201"
"11-Jan-2024","EQ","33.30","33.30","32.30","32.87","33.01","32.97","32.80","33.49","21.11","13,127","4,30,595.62","392"
"10-Jan-2024","EQ","32.71","33.12","32.40","32.71","32.89","32.87","32.72","33.49","21.11","12,648","4,13,860.07","154"
"09-Jan-2024","EQ","33.30","33.49","32.20","32.74","32.85","32.71","32.82","33.49","21.11","17,651","5,79,249.29","181"
"08-Jan-2024","EQ","32.84","33.41","32.30","32.84","32.96","32.74","32.70","33.41","21.11","18,219","5,95,731.99","245"
"05-Jan-2024","EQ","32.84","33.34","32.61","32.84","32.86","32.84","32.82","33.34","21.11","11,129","3,65,206.56","222"
"04-Jan-2024","EQ","32.69","33.09","32.44","32.65","32.94","32.84","32.83","33.09","21.11","22,579","7,41,200.26","193"
"03-Jan-2024","EQ","31.72","33.05","31.45","32.37","32.88","32.65","32.44","33.05","21.11","23,271","7,55,012.31","280"
"02-Jan-2024","EQ","31.95","32.70","31.49","31.79","32.26","32.37","32.22","32.70","21.11","42,914","13,82,603.24","427"
"01-Jan-2024","EQ","31.61","31.95","31.08","31.63","31.63","31.79","31.62","32.05","21.11","32,237","10,19,458.30","220"
"29-Dec-2023","EQ","32.05","32.05","31.51","31.77","31.52","31.63","31.68","32.05","21.11","10,622","3,36,465.09","158"
"28-Dec-2023","EQ","31.85","32.03","31.15","31.41","32.03","31.77","31.57","32.03","21.11","35,211","11,11,737.90","238"
"27-Dec-2023","EQ","31.27","31.90","31.04","31.19","31.04","31.41","31.39","31.90","21.11","48,773","15,31,077.74","316"
"26-Dec-2023","EQ","31.22","31.22","30.05","30.83","31.21","31.19","31.12","31.50","21.11","22,533","7,01,175.91","183"
"22-Dec-2023","EQ","30.76","31.02","30.62","30.61","30.77","30.83","30.84","31.50","21.11","13,301","4,10,233.57","149"
"21-Dec-2023","EQ","30.75","31.20","30.29","30.42","30.89","30.61","30.60","31.50","21.11","36,168","11,06,563.63","207"
"20-Dec-2023","EQ","31.06","31.20","30.26","31.06","31.13","30.42","30.56","31.50","21.11","84,165","25,72,198.57","696"
"19-Dec-2023","EQ","31.48","31.48","30.71","31.05","31.00","31.06","30.98","31.50","21.11","20,330","6,29,888.39","178"
"18-Dec-2023","EQ","31.15","31.29","30.71","31.15","31.10","31.05","30.98","31.50","21.11","31,157","9,65,313.15","269"
"15-Dec-2023","EQ","30.73","31.21","30.50","30.73","31.21","31.15","30.87","31.50","21.11","33,298","10,28,005.74","226"
"14-Dec-2023","EQ","31.20","31.20","30.53","30.75","30.58","30.73","30.76","31.50","21.11","12,786","3,93,299.84","232"
"13-Dec-2023","EQ","30.27","31.08","30.27","30.26","31.08","30.75","30.46","31.50","21.11","23,154","7,05,268.01","215"
"12-Dec-2023","EQ","30.49","30.93","30.11","30.48","30.32","30.26","30.50","31.50","21.11","15,513","4,73,149.55","147"
"11-Dec-2023","EQ","30.60","30.96","29.94","30.57","30.45","30.48","30.46","31.50","21.11","23,024","7,01,213.23","182"
"08-Dec-2023","EQ","31.20","31.20","30.40","30.96","30.82","30.57","30.66","31.50","21.11","28,997","8,89,018.70","306"
"07-Dec-2023","EQ","31.20","31.20","30.54","30.74","30.86","30.96","30.78","31.50","21.11","11,926","3,67,109.02","132"
"06-Dec-2023","EQ","30.35","31.19","30.35","30.25","31.19","30.74","30.74","31.50","21.11","9,663","2,97,074.91","164"
"05-Dec-2023","EQ","31.21","31.21","30.03","30.78","30.74","30.25","30.71","31.50","21.11","6,658","2,04,498.38","205"
"04-Dec-2023","EQ","31.50","31.50","29.90","30.78","31.09","30.78","30.44","31.50","21.11","37,789","11,50,430.51","308"
"01-Dec-2023","EQ","30.50","31.21","29.81","29.82","31.21","30.78","30.71","31.21","21.11","33,366","10,24,817.12","260"
"30-Nov-2023","EQ","30.35","30.60","29.60","30.06","30.60","29.82","30.15","30.99","21.11","8,143","2,45,543.92","154"
"29-Nov-2023","EQ","29.91","30.10","29.91","29.83","30.07","30.06","30.05","30.99","21.11","2,421","72,748.72","55"
"28-Nov-2023","EQ","30.02","30.19","29.27","30.02","29.78","29.83","29.93","30.99","21.11","3,233","96,750.85","134"
"24-Nov-2023","EQ","29.40","30.37","29.40","29.82","30.19","30.02","30.02","30.99","21.11","4,265","1,28,038.48","91"
"23-Nov-2023","EQ","29.23","30.48","29.23","30.01","29.26","29.82","29.94","30.99","21.11","10,883","3,25,846.84","123"
"22-Nov-2023","EQ","30.40","30.40","29.45","29.94","29.98","30.01","30.06","30.99","21.11","13,837","4,16,007.81","192"
"21-Nov-2023","EQ","29.85","30.47","29.22","29.90","29.92","29.94","29.91","30.99","21.11","16,646","4,97,813.87","137"
"20-Nov-2023","EQ","28.76","30.00","28.76","29.13","30.00","29.90","29.78","30.99","21.11","33,659","10,02,374.72","483"
"17-Nov-2023","EQ","29.68","29.78","28.83","29.52","29.74","29.13","29.43","30.99","21.11","45,171","13,29,607.26","184"
"16-Nov-2023","EQ","28.51","29.65","28.51","29.09","29.60","29.52","29.39","30.99","21.11","38,779","11,39,762.24","211"
"15-Nov-2023","EQ","29.48","29.48","28.80","28.96","29.10","29.09","28.99","30.99","21.11","9,888","2,86,702.53","114"
"13-Nov-2023","EQ","29.00","29.06","28.80","28.89","28.80","28.96","28.88","30.99","21.11","5,276","1,52,367.46","76"
"12-Nov-2023","EQ","29.07","29.07","28.53","28.84","28.83","28.89","28.86","30.99","21.11","4,135","1,19,317.94","75"
"10-Nov-2023","EQ","28.24","29.05","28.24","28.94","28.50","28.84","28.94","30.99","21.11","6,845","1,98,102.68","99"
"09-Nov-2023","EQ","28.86","29.05","28.64","28.86","28.64","28.94","28.90","30.99","21.11","16,661","4,81,538.57","76"
"08-Nov-2023","EQ","28.49","29.06","28.49","28.39","28.75","28.86","28.85","30.99","21.11","25,840","7,45,396.91","196"
"07-Nov-2023","EQ","28.59","28.67","28.00","28.37","28.67","28.39","28.43","30.99","21.11","16,637","4,73,059.96","104"
"06-Nov-2023","EQ","28.38","28.45","27.55","27.94","28.38","28.37","28.18","30.99","21.11","7,807","2,19,968.97","147"
