Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,4.620000,4.620000,4.570000,4.600000,4.590400,960800
2023-11-07,4.580000,4.610000,4.560000,4.580000,4.570442,1811400
2023-11-08,4.580000,4.580000,4.560000,4.570000,4.560463,1008900
2023-11-09,4.550000,4.590000,4.490000,4.510000,4.500588,2391500
2023-11-10,4.500000,4.550000,4.490000,4.550000,4.540504,1125200
2023-11-13,4.530000,4.550000,4.500000,4.520000,4.510567,1203200
2023-11-14,4.570000,4.620000,4.540000,4.610000,4.600379,1335800
2023-11-15,4.630000,4.690000,4.630000,4.680000,4.670233,1608500
2023-11-16,4.730000,4.750000,4.670000,4.680000,4.670233,2518600
2023-11-17,4.700000,4.720000,4.690000,4.720000,4.710149,1164900
2023-11-20,4.730000,4.760000,4.690000,4.750000,4.740087,1699200
2023-11-21,4.750000,4.760000,4.730000,4.760000,4.750066,918600
2023-11-22,4.740000,4.780000,4.740000,4.750000,4.740087,957300
2023-11-24,4.710000,4.710000,4.670000,4.700000,4.690191,794200
2023-11-27,4.700000,4.720000,4.680000,4.690000,4.680212,1182900
2023-11-28,4.680000,4.730000,4.680000,4.730000,4.720129,1344600
2023-11-29,4.810000,4.840000,4.780000,4.790000,4.780004,1365200
2023-11-30,4.860000,4.880000,4.830000,4.850000,4.839878,2001500
2023-12-01,4.820000,4.890000,4.810000,4.880000,4.869816,1033200
2023-12-04,4.830000,4.850000,4.820000,4.820000,4.809941,1772600
2023-12-05,4.800000,4.820000,4.780000,4.800000,4.789983,811600
2023-12-06,4.970000,4.990000,4.950000,4.970000,4.959628,1536100
2023-12-07,4.970000,4.990000,4.950000,4.980000,4.969607,1195500
2023-12-08,5.010000,5.050000,5.000000,5.010000,4.999545,2027800
2023-12-11,4.960000,4.990000,4.910000,4.950000,4.939670,1748800
2023-12-12,4.980000,5.000000,4.950000,4.990000,4.979586,1573400
2023-12-13,4.990000,5.060000,4.960000,5.040000,5.029482,1583700
2023-12-14,5.100000,5.210000,5.100000,5.200000,5.189148,1723700
2023-12-15,5.270000,5.290000,5.240000,5.280000,5.268981,2223800
2023-12-18,5.290000,5.320000,5.260000,5.310000,5.298918,1325800
2023-12-19,5.200000,5.300000,5.200000,5.260000,5.249023,1382300
2023-12-20,5.150000,5.240000,5.120000,5.160000,5.149231,1806200
2023-12-21,5.180000,5.200000,5.140000,5.200000,5.189148,1834500
2023-12-22,5.470000,5.490000,5.390000,5.430000,5.418668,3492500
2023-12-26,5.580000,5.580000,5.470000,5.510000,5.498501,1095000
2023-12-27,5.510000,5.570000,5.490000,5.570000,5.558376,1245200
2023-12-28,5.550000,5.580000,5.540000,5.570000,5.558376,1300000
2023-12-29,5.590000,5.600000,5.540000,5.570000,5.558376,1547500
2024-01-02,5.520000,5.550000,5.470000,5.470000,5.458584,3419800
2024-01-03,5.380000,5.390000,5.320000,5.360000,5.348814,4693100
2024-01-04,5.330000,5.380000,5.320000,5.350000,5.338835,1427600
2024-01-05,5.390000,5.430000,5.380000,5.420000,5.408689,2669400
2024-01-08,5.350000,5.450000,5.330000,5.430000,5.418668,2820300
2024-01-09,5.380000,5.400000,5.340000,5.360000,5.348814,2029000
2024-01-10,5.380000,5.440000,5.370000,5.380000,5.368773,3090600
2024-01-11,5.360000,5.390000,5.320000,5.370000,5.358793,2780500
2024-01-12,5.890000,6.390000,5.860000,6.280000,6.266894,15246900
2024-01-16,5.830000,5.860000,5.730000,5.750000,5.738000,5490100
2024-01-17,5.740000,5.760000,5.680000,5.690000,5.678125,4692000
2024-01-18,5.810000,5.830000,5.700000,5.780000,5.767938,3351300
2024-01-19,5.780000,5.790000,5.750000,5.780000,5.767938,3483900
2024-01-22,5.750000,5.790000,5.720000,5.750000,5.738000,2507300
2024-01-23,5.620000,5.700000,5.620000,5.680000,5.680000,2710400
2024-01-24,5.800000,5.800000,5.740000,5.750000,5.750000,2166600
2024-01-25,5.670000,5.730000,5.660000,5.730000,5.730000,2163100
2024-01-26,5.730000,5.740000,5.710000,5.720000,5.720000,2427600
2024-01-29,5.750000,5.750000,5.680000,5.730000,5.730000,1495200
2024-01-30,5.700000,5.710000,5.610000,5.650000,5.650000,1939400
2024-01-31,5.690000,5.740000,5.660000,5.660000,5.660000,2248600
2024-02-01,5.660000,5.700000,5.630000,5.700000,5.700000,1714400
2024-02-02,5.770000,5.780000,5.720000,5.770000,5.770000,2632800
